Data;À vista R$;À vista US$
04/01/2016;1.277,22;315,52
05/01/2016;1.331,85;333,63
06/01/2016;1.300,03;323,55
07/01/2016;1.300,03;321,47
08/01/2016;1.300,03;322,27
11/01/2016;1.325,66;327,40
12/01/2016;1.285,95;318,30
13/01/2016;1.325,91;331,39
14/01/2016;1.322,11;331,02
15/01/2016;1.322,11;326,45
18/01/2016;1.327,42;329,30
19/01/2016;1.325,72;327,42
20/01/2016;1.319,28;320,53
21/01/2016;1.322,50;318,44
22/01/2016;1.319,32;321,24
25/01/2016;1.303,13;317,39
26/01/2016;1.341,07;329,91
27/01/2016;1.341,07;328,45
28/01/2016;1.377,04;338,17
29/01/2016;1.381,48;343,22
01/02/2016;1.381,48;347,98
02/02/2016;1.372,67;344,72
03/02/2016;1.372,67;349,99
04/02/2016;1.364,35;350,64
05/02/2016;1.367,34;349,43
10/02/2016;1.364,01;346,64
11/02/2016;1.345,00;338,19
12/02/2016;1.346,42;337,03
15/02/2016;1.361,41;341,04
16/02/2016;1.379,57;339,46
17/02/2016;1.375,49;346,04
18/02/2016;1.367,10;338,56
19/02/2016;1.355,86;335,69
22/02/2016;1.336,76;339,02
23/02/2016;1.343,03;339,15
24/02/2016;1.338,19;338,44
25/02/2016;1.340,31;340,09
26/02/2016;1.341,80;335,87
29/02/2016;1.348,56;337,48
01/03/2016;1.371,24;347,68
02/03/2016;1.381,49;354,96
03/03/2016;1.381,49;362,21
04/03/2016;1.393,29;369,67
07/03/2016;1.397,15;368,84
08/03/2016;1.396,05;371,98
09/03/2016;1.403,85;379,42
10/03/2016;1.383,43;379,85
11/03/2016;1.384,39;384,23
14/03/2016;1.377,80;378,00
15/03/2016;1.387,64;369,45
16/03/2016;1.382,63;368,80
17/03/2016;1.385,35;380,07
18/03/2016;1.400,37;390,08
21/03/2016;1.400,53;387,85
22/03/2016;1.406,69;391,73
23/03/2016;1.406,69;382,88
24/03/2016;1.413,13;382,96
28/03/2016;1.407,12;387,74
29/03/2016;1.398,46;384,93
30/03/2016;1.398,46;386,21
31/03/2016;1.369,67;380,04
01/04/2016;1.387,40;388,74
04/04/2016;1.385,51;384,54
05/04/2016;1.373,89;374,36
06/04/2016;1.377,86;377,70
07/04/2016;1.387,10;376,01
08/04/2016;1.358,96;377,17
11/04/2016;1.361,16;389,35
12/04/2016;1.406,45;400,35
13/04/2016;1.402,57;401,88
14/04/2016;1.413,60;405,97
15/04/2016;1.420,89;404,35
18/04/2016;1.414,18;392,39
19/04/2016;1.419,37;401,52
20/04/2016;1.421,70;402,75
22/04/2016;1.423,11;398,30
25/04/2016;1.395,15;393,00
26/04/2016;1.374,70;390,21
27/04/2016;1.368,35;388,51
28/04/2016;1.414,15;404,50
29/04/2016;1.423,61;413,96
02/05/2016;1.435,66;411,25
03/05/2016;1.414,13;396,67
04/05/2016;1.420,16;401,86
05/05/2016;1.376,45;388,17
06/05/2016;1.353,94;387,06
09/05/2016;1.344,85;381,41
10/05/2016;1.348,16;388,52
11/05/2016;1.342,64;389,62
12/05/2016;1.346,51;388,04
13/05/2016;1.345,36;382,10
16/05/2016;1.340,53;383,45
17/05/2016;1.341,77;384,68
18/05/2016;1.328,01;376,31
19/05/2016;1.346,69;374,60
20/05/2016;1.331,21;376,05
23/05/2016;1.331,81;371,91
24/05/2016;1.318,91;368,31
25/05/2016;1.316,02;365,87
27/05/2016;1.294,70;359,04
30/05/2016;1.288,54;360,43
31/05/2016;1.316,54;363,89
01/06/2016;1.328,24;369,67
02/06/2016;1.332,27;371,73
03/06/2016;1.338,83;379,59
06/06/2016;1.343,54;384,64
07/06/2016;1.336,73;387,57
08/06/2016;1.336,46;396,46
09/06/2016;1.332,55;392,39
10/06/2016;1.335,89;389,70
13/06/2016;1.330,45;382,42
14/06/2016;1.335,04;382,53
15/06/2016;1.324,62;382,40
16/06/2016;1.352,34;389,84
17/06/2016;1.371,51;400,79
20/06/2016;1.364,82;401,77
21/06/2016;1.371,32;403,21
22/06/2016;1.365,60;404,50
23/06/2016;1.365,60;407,76
24/06/2016;1.362,24;403,75
27/06/2016;1.367,50;402,56
28/06/2016;1.290,59;390,73
29/06/2016;1.289,05;398,35
30/06/2016;1.278,92;397,92
01/07/2016;1.282,78;397,02
04/07/2016;1.285,62;393,88
05/07/2016;1.283,29;388,76
06/07/2016;1.278,85;383,35
07/07/2016;1.284,46;382,51
08/07/2016;1.288,31;391,82
11/07/2016;1.280,48;386,97
12/07/2016;1.293,64;393,32
13/07/2016;1.300,29;396,67
14/07/2016;1.305,70;401,51
15/07/2016;1.303,02;400,68
18/07/2016;1.305,38;401,78
19/07/2016;1.301,16;399,50
20/07/2016;1.291,76;397,59
21/07/2016;1.288,25;392,28
22/07/2016;1.288,25;395,17
25/07/2016;1.299,11;394,87
26/07/2016;1.307,44;399,71
27/07/2016;1.300,37;398,27
28/07/2016;1.297,62;394,05
29/07/2016;1.287,93;397,63
01/08/2016;1.281,34;391,61
02/08/2016;1.272,30;389,32
03/08/2016;1.272,46;392,98
04/08/2016;1.278,39;399,62
05/08/2016;1.285,60;406,19
08/08/2016;1.292,10;408,25
09/08/2016;1.288,10;410,61
10/08/2016;1.288,10;412,46
11/08/2016;1.291,57;411,59
12/08/2016;1.286,08;403,54
15/08/2016;1.274,67;400,71
16/08/2016;1.271,17;399,11
17/08/2016;1.272,40;396,39
18/08/2016;1.260,95;389,30
19/08/2016;1.257,92;391,88
22/08/2016;1.258,25;392,83
23/08/2016;1.252,06;387,39
24/08/2016;1.251,84;388,29
25/08/2016;1.273,06;394,38
26/08/2016;1.264,03;386,55
29/08/2016;1.259,58;389,60
30/08/2016;1.296,29;399,47
31/08/2016;1.301,06;403,68
01/09/2016;1.294,13;398,44
02/09/2016;1.294,13;398,32
05/09/2016;1.308,27;399,11
06/09/2016;1.265,77;394,45
08/09/2016;1.307,69;407,25
09/09/2016;1.297,89;396,18
12/09/2016;1.281,77;395,00
13/09/2016;1.261,38;380,51
14/09/2016;1.255,37;376,08
15/09/2016;1.248,09;377,52
16/09/2016;1.233,27;377,84
19/09/2016;1.233,20;376,89
20/09/2016;1.217,92;374,52
21/09/2016;1.250,78;389,29
22/09/2016;1.257,51;390,65
23/09/2016;1.252,00;386,78
26/09/2016;1.245,65;383,75
27/09/2016;1.283,90;397,61
28/09/2016;1.281,81;397,46
29/09/2016;1.286,24;394,92
30/09/2016;1.286,70;395,79
03/10/2016;1.299,46;406,08
04/10/2016;1.260,38;387,21
05/10/2016;1.262,58;391,98
06/10/2016;1.264,94;392,35
07/10/2016;1.267,82;394,35
10/10/2016;1.264,50;394,66
11/10/2016;1.270,67;397,33
13/10/2016;1.270,52;399,66
14/10/2016;1.272,05;397,14
17/10/2016;1.291,19;402,99
18/10/2016;1.270,25;399,32
19/10/2016;1.257,68;396,74
20/10/2016;1.256,03;400,27
21/10/2016;1.245,96;393,67
24/10/2016;1.246,67;399,70
25/10/2016;1.254,67;403,69
26/10/2016;1.245,97;396,43
27/10/2016;1.242,26;393,99
28/10/2016;1.241,06;388,20
31/10/2016;1.238,64;388,90
01/11/2016;1.232,20;380,31
03/11/2016;1.227,53;379,34
04/11/2016;1.223,68;380,02
07/11/2016;1.227,61;383,03
08/11/2016;1.227,61;387,01
