Data;À vista R$
04/01/2016;1277,22
05/01/2016;1331,85
06/01/2016;1300,03
07/01/2016;1300,03
08/01/2016;1300,03
11/01/2016;1325,66
12/01/2016;1285,95
13/01/2016;1325,91
14/01/2016;1322,11
15/01/2016;1322,11
18/01/2016;1327,42
19/01/2016;1325,72
20/01/2016;1319,28
21/01/2016;1322,50
22/01/2016;1319,32
25/01/2016;1303,13
26/01/2016;1341,07
27/01/2016;1341,07
28/01/2016;1377,04
29/01/2016;1381,48
01/02/2016;1381,48
02/02/2016;1372,67
03/02/2016;1372,67
04/02/2016;1364,35
05/02/2016;1367,34
10/02/2016;1364,01
11/02/2016;1345,00
12/02/2016;1346,42
15/02/2016;1361,41
16/02/2016;1379,57
17/02/2016;1375,49
18/02/2016;1367,10
19/02/2016;1355,86
22/02/2016;1336,76
23/02/2016;1343,03
24/02/2016;1338,19
25/02/2016;1340,31
26/02/2016;1341,80
29/02/2016;1348,56
01/03/2016;1371,24
02/03/2016;1381,49
03/03/2016;1381,49
04/03/2016;1393,29
07/03/2016;1397,15
08/03/2016;1396,05
09/03/2016;1403,85
10/03/2016;1383,43
11/03/2016;1384,39
14/03/2016;1377,80
15/03/2016;1387,64
16/03/2016;1382,63
17/03/2016;1385,35
18/03/2016;1400,37
21/03/2016;1400,53
22/03/2016;1406,69
23/03/2016;1406,69
24/03/2016;1413,13
28/03/2016;1407,12
29/03/2016;1398,46
30/03/2016;1398,46
31/03/2016;1369,67
01/04/2016;1387,40
04/04/2016;1385,51
05/04/2016;1373,89
06/04/2016;1377,86
07/04/2016;1387,10
08/04/2016;1358,96
11/04/2016;1361,16
12/04/2016;1406,45
13/04/2016;1402,57
14/04/2016;1413,60
15/04/2016;1420,89
18/04/2016;1414,18
19/04/2016;1419,37
20/04/2016;1421,70
22/04/2016;1423,11
25/04/2016;1395,15
26/04/2016;1374,70
27/04/2016;1368,35
28/04/2016;1414,15
29/04/2016;1423,61
02/05/2016;1435,66
03/05/2016;1414,13
04/05/2016;1420,16
05/05/2016;1376,45
06/05/2016;1353,94
09/05/2016;1344,85
10/05/2016;1348,16
11/05/2016;1342,64
12/05/2016;1346,51
13/05/2016;1345,36
16/05/2016;1340,53
17/05/2016;1341,77
18/05/2016;1328,01
19/05/2016;1346,69
20/05/2016;1331,21
23/05/2016;1331,81
24/05/2016;1318,91
25/05/2016;1316,02
27/05/2016;1294,70
30/05/2016;1288,54
31/05/2016;1316,54
01/06/2016;1328,24
02/06/2016;1332,27
03/06/2016;1338,83
06/06/2016;1343,54
07/06/2016;1336,73
08/06/2016;1336,46
09/06/2016;1332,55
10/06/2016;1335,89
13/06/2016;1330,45
14/06/2016;1335,04
15/06/2016;1324,62
16/06/2016;1352,34
17/06/2016;1371,51
20/06/2016;1364,82
21/06/2016;1371,32
22/06/2016;1365,60
23/06/2016;1365,60
24/06/2016;1362,24
27/06/2016;1367,50
28/06/2016;1290,59
29/06/2016;1289,05
30/06/2016;1278,92
01/07/2016;1282,78
04/07/2016;1285,62
05/07/2016;1283,29
06/07/2016;1278,85
07/07/2016;1284,46
