Data;À vista R$;À vista US$
04/01/2016;1.373,09;339,20
05/01/2016;1.374,38;344,28
06/01/2016;1.368,98;340,71
07/01/2016;1.369,73;338,71
08/01/2016;1.369,73;339,55
11/01/2016;1.369,83;338,31
12/01/2016;1.366,67;338,28
13/01/2016;1.366,67;341,58
14/01/2016;1.350,21;338,06
15/01/2016;1.350,21;333,38
18/01/2016;1.345,82;333,87
19/01/2016;1.344,24;331,99
20/01/2016;1.345,75;326,96
21/01/2016;1.387,03;333,98
22/01/2016;1.377,68;335,45
25/01/2016;1.381,88;336,58
26/01/2016;1.391,78;342,38
27/01/2016;1.392,51;341,05
28/01/2016;1.403,50;344,67
29/01/2016;1.428,47;354,90
01/02/2016;1.434,65;361,37
02/02/2016;1.439,60;361,53
03/02/2016;1.428,02;364,11
04/02/2016;1.424,28;366,04
05/02/2016;1.418,88;362,61
10/02/2016;1.407,44;357,67
11/02/2016;1.377,28;346,31
12/02/2016;1.389,55;347,82
15/02/2016;1.395,19;349,50
16/02/2016;1.398,13;344,03
17/02/2016;1.400,10;352,23
18/02/2016;1.402,64;347,36
19/02/2016;1.404,46;347,72
22/02/2016;1.395,14;353,83
23/02/2016;1.395,14;352,31
24/02/2016;1.396,05;353,07
25/02/2016;1.397,71;354,66
26/02/2016;1.418,16;354,98
29/02/2016;1.410,11;352,88
01/03/2016;1.399,47;354,83
02/03/2016;1.391,02;357,41
03/03/2016;1.403,38;367,95
04/03/2016;1.399,47;371,31
07/03/2016;1.416,86;374,04
08/03/2016;1.420,17;378,41
09/03/2016;1.426,76;385,61
10/03/2016;1.420,17;389,94
11/03/2016;1.425,02;395,51
14/03/2016;1.433,30;393,22
15/03/2016;1.442,82;384,14
16/03/2016;1.426,26;380,44
17/03/2016;1.433,12;393,18
18/03/2016;1.416,65;394,61
21/03/2016;1.411,96;391,02
22/03/2016;1.394,93;388,45
23/03/2016;1.396,17;380,01
24/03/2016;1.397,41;378,70
28/03/2016;1.397,07;384,97
29/03/2016;1.404,18;386,51
30/03/2016;1.404,18;387,79
31/03/2016;1.395,77;387,28
01/04/2016;1.395,46;390,99
04/04/2016;1.397,48;387,87
05/04/2016;1.395,29;380,19
06/04/2016;1.397,27;383,02
07/04/2016;1.400,18;379,55
08/04/2016;1.402,12;389,15
11/04/2016;1.400,50;400,60
12/04/2016;1.400,27;398,60
13/04/2016;1.406,13;402,90
14/04/2016;1.408,79;404,59
15/04/2016;1.408,30;400,77
18/04/2016;1.413,48;392,20
19/04/2016;1.414,73;400,21
20/04/2016;1.416,75;401,35
22/04/2016;1.420,30;397,51
25/04/2016;1.424,20;401,18
26/04/2016;1.423,52;404,06
27/04/2016;1.419,55;403,05
28/04/2016;1.428,96;408,74
29/04/2016;1.416,56;411,91
02/05/2016;1.417,52;406,05
03/05/2016;1.418,28;397,83
04/05/2016;1.418,78;401,47
05/05/2016;1.417,71;399,80
06/05/2016;1.415,02;404,52
09/05/2016;1.408,01;399,32
10/05/2016;1.413,24;407,27
11/05/2016;1.414,94;410,60
12/05/2016;1.416,50;408,21
13/05/2016;1.424,60;404,60
16/05/2016;1.427,30;407,57
17/05/2016;1.410,76;404,46
18/05/2016;1.407,73;395,43
19/05/2016;1.398,03;388,88
20/05/2016;1.394,38;393,89
23/05/2016;1.401,25;391,30
24/05/2016;1.416,96;395,69
25/05/2016;1.419,01;394,50
27/05/2016;1.431,19;396,89
30/05/2016;1.424,67;398,51
31/05/2016;1.406,47;388,74
01/06/2016;1.370,55;381,45
02/06/2016;1.370,55;382,41
03/06/2016;1.374,71;389,77
06/06/2016;1.370,84;392,45
07/06/2016;1.368,74;396,85
08/06/2016;1.377,07;408,51
09/06/2016;1.379,94;406,34
10/06/2016;1.378,93;402,25
13/06/2016;1.384,49;397,96
14/06/2016;1.385,65;397,03
15/06/2016;1.387,48;400,54
16/06/2016;1.378,89;397,49
17/06/2016;1.378,89;402,95
20/06/2016;1.389,54;409,05
21/06/2016;1.405,25;413,19
