Data;À vista R$
04/01/2016;1373,09
05/01/2016;1374,38
06/01/2016;1368,98
07/01/2016;1369,73
08/01/2016;1369,73
11/01/2016;1369,83
12/01/2016;1366,67
13/01/2016;1366,67
14/01/2016;1350,21
15/01/2016;1350,21
18/01/2016;1345,82
19/01/2016;1344,24
20/01/2016;1345,75
21/01/2016;1387,03
22/01/2016;1377,68
25/01/2016;1381,88
26/01/2016;1391,78
27/01/2016;1392,51
28/01/2016;1403,50
29/01/2016;1428,47
01/02/2016;1434,65
02/02/2016;1439,60
03/02/2016;1428,02
04/02/2016;1424,28
05/02/2016;1418,88
10/02/2016;1407,44
11/02/2016;1377,28
12/02/2016;1389,55
15/02/2016;1395,19
16/02/2016;1398,13
17/02/2016;1400,10
18/02/2016;1402,64
19/02/2016;1404,46
22/02/2016;1395,14
23/02/2016;1395,14
24/02/2016;1396,05
25/02/2016;1397,71
26/02/2016;1418,16
29/02/2016;1410,11
01/03/2016;1399,47
02/03/2016;1391,02
03/03/2016;1403,38
04/03/2016;1399,47
07/03/2016;1416,86
08/03/2016;1420,17
09/03/2016;1426,76
10/03/2016;1420,17
11/03/2016;1425,02
14/03/2016;1433,30
15/03/2016;1442,82
16/03/2016;1426,26
17/03/2016;1433,12
18/03/2016;1416,65
21/03/2016;1411,96
22/03/2016;1394,93
23/03/2016;1396,17
24/03/2016;1397,41
28/03/2016;1397,07
29/03/2016;1404,18
30/03/2016;1404,18
31/03/2016;1395,77
01/04/2016;1395,46
04/04/2016;1397,48
05/04/2016;1395,29
06/04/2016;1397,27
07/04/2016;1400,18
08/04/2016;1402,12
11/04/2016;1400,50
12/04/2016;1400,27
13/04/2016;1406,13
14/04/2016;1408,79
15/04/2016;1408,30
18/04/2016;1413,48
19/04/2016;1414,73
20/04/2016;1416,75
22/04/2016;1420,30
25/04/2016;1424,20
26/04/2016;1423,52
27/04/2016;1419,55
28/04/2016;1428,96
29/04/2016;1416,56
02/05/2016;1417,52
03/05/2016;1418,28
04/05/2016;1418,78
05/05/2016;1417,71
06/05/2016;1415,02
09/05/2016;1408,01
10/05/2016;1413,24
11/05/2016;1414,94
12/05/2016;1416,50
13/05/2016;1424,60
16/05/2016;1427,30
17/05/2016;1410,76
18/05/2016;1407,73
19/05/2016;1398,03
20/05/2016;1394,38
23/05/2016;1401,25
24/05/2016;1416,96
25/05/2016;1419,01
27/05/2016;1431,19
30/05/2016;1424,67
31/05/2016;1406,47
01/06/2016;1370,55
02/06/2016;1370,55
03/06/2016;1374,71
06/06/2016;1370,84
07/06/2016;1368,74
08/06/2016;1377,07
09/06/2016;1379,94
10/06/2016;1378,93
13/06/2016;1384,49
14/06/2016;1385,65
15/06/2016;1387,48
16/06/2016;1378,89
17/06/2016;1378,89
20/06/2016;1389,54
21/06/2016;1405,25
22/06/2016;1409,83
23/06/2016;1409,61
24/06/2016;1411,06
27/06/2016;1396,86
28/06/2016;1386,59
29/06/2016;1382,48
30/06/2016;1385,12
01/07/2016;1378,30
04/07/2016;1381,54
05/07/2016;1386,91
06/07/2016;1388,07
07/07/2016;1393,51
08/07/2016;1398,83
11/07/2016;1397,92
12/07/2016;1392,83
13/07/2016;1389,59
14/07/2016;1383,48
15/07/2016;1373,62
18/07/2016;1364,00
19/07/2016;1356,55
20/07/2016;1351,05
21/07/2016;1348,42
22/07/2016;1348,60
25/07/2016;1355,52
26/07/2016;1351,58
27/07/2016;1347,78
28/07/2016;1341,13
29/07/2016;1335,91
01/08/2016;1331,53
02/08/2016;1333,95
03/08/2016;1329,20
04/08/2016;1320,24
05/08/2016;1313,69
08/08/2016;1316,18
09/08/2016;1321,54
10/08/2016;1315,89
11/08/2016;1316,32
12/08/2016;1309,44
15/08/2016;1300,01
16/08/2016;1289,90
17/08/2016;1289,56
18/08/2016;1289,94
19/08/2016;1293,31
22/08/2016;1295,47
23/08/2016;1294,29
24/08/2016;1299,39
25/08/2016;1304,10
26/08/2016;1308,32
29/08/2016;1314,69
30/08/2016;1320,68
31/08/2016;1318,51
01/09/2016;1316,84
02/09/2016;1302,73
05/09/2016;1291,59
06/09/2016;1273,82
08/09/2016;1260,70
09/09/2016;1269,52
12/09/2016;1271,42
13/09/2016;1269,62
14/09/2016;1282,88
15/09/2016;1278,05
16/09/2016;1283,72
19/09/2016;1286,00
